id,title,release_date,popularity,vote_average,vote_count
862,Toy Story,1995-10-30,21.946943,7.7,5415.0
8844,Jumanji,1995-12-15,17.015539,6.9,2413.0
15602,Grumpier Old Men,1995-12-22,11.7129,6.5,92.0
31357,Waiting to Exhale,1995-12-22,3.859495,6.1,34.0
11862,Father of the Bride Part II,1995-02-10,8.387519000000001,5.7,173.0
949,Heat,1995-12-15,17.924927,7.7,1886.0
11860,Sabrina,1995-12-15,6.677277,6.2,141.0
45325,Tom and Huck,1995-12-22,2.5611610000000002,5.4,45.0
9091,Sudden Death,1995-12-22,5.23158,5.5,174.0
710,GoldenEye,1995-11-16,14.686035999999998,6.6,1194.0
9087,The American President,1995-11-17,6.318445,6.5,199.0
12110,Dracula: Dead and Loving It,1995-12-22,5.430331,5.7,210.0
21032,Balto,1995-12-22,12.140733,7.1,423.0
10858,Nixon,1995-12-22,5.092,7.1,72.0
1408,Cutthroat Island,1995-12-22,7.284477000000001,5.7,137.0
524,Casino,1995-11-22,10.137389,7.8,1343.0
4584,Sense and Sensibility,1995-12-13,10.673167,7.2,364.0
5,Four Rooms,1995-12-09,9.026586,6.5,539.0
9273,Ace Ventura: When Nature Calls,1995-11-10,8.205447999999999,6.1,1128.0
11517,Money Train,1995-11-21,7.337905999999999,5.4,224.0
8012,Get Shorty,1995-10-20,12.669608,6.4,305.0
1710,Copycat,1995-10-27,10.701801,6.5,199.0
9691,Assassins,1995-10-06,11.065939,6.0,394.0
12665,Powder,1995-10-27,12.133094,6.3,143.0
451,Leaving Las Vegas,1995-10-27,10.332025,7.1,365.0
16420,Othello,1995-12-15,1.8458990000000002,7.0,33.0
9263,Now and Then,1995-10-20,8.681325,6.6,91.0
17015,Persuasion,1995-09-27,2.228434,7.4,36.0
902,The City of Lost Children,1995-05-16,9.822422999999999,7.6,308.0
37557,Shanghai Triad,1995-04-30,1.1009149999999999,6.5,17.0
9909,Dangerous Minds,1995-08-11,9.481338000000001,6.4,249.0
63,Twelve Monkeys,1995-12-29,12.297305,7.4,2470.0
78802,Wings of Courage,1996-09-18,0.745542,6.8,4.0
9598,Babe,1995-07-18,14.404764000000002,6.0,756.0
47018,Carrington,1995-11-08,1.4933610000000002,6.4,16.0
687,Dead Man Walking,1995-12-29,6.891317,7.3,350.0
139405,Across the Sea of Time,1995-10-20,0.114469,3.5,2.0
33689,It Takes Two,1995-11-17,7.777735000000001,6.1,149.0
9603,Clueless,1995-07-19,9.882383,6.9,828.0
34615,"Cry, the Beloved Country",1995-12-15,0.894647,6.7,13.0
31174,Richard III,1995-12-29,4.561387,6.9,50.0
11443,Dead Presidents,1995-10-06,9.87957,6.6,80.0
35196,Restoration,1995-12-29,10.979269,6.3,30.0
9312,Mortal Kombat,1995-08-18,10.870138,5.4,452.0
577,To Die For,1995-05-20,10.448481,6.7,177.0
11861,How To Make An American Quilt,1995-10-06,4.485958,6.5,38.0
807,Se7en,1995-09-22,18.45743,8.1,5915.0
10530,Pocahontas,1995-06-14,13.280069000000001,6.7,1509.0
